het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
A1CPB,c1ccc(cc1)c2cc3cccnc3[nH]2,c1ccc(-c2cc3cccnc3[nH]2)cc1,7.4,3,2.94;5.77;10.56,,pkasolver
A1CPC,c1ccc2c(c1)c3c([nH]2)C(=O)N(C=N3)CCCO,O=c1c2[nH]c3ccccc3c2ncn1CCCO,7.4,4,4.63;6.73;8.57;9.85,,pkasolver
A1CPD,CS(=O)Cc1[nH]c2ccccc2n1,CS(=O)Cc1nc2ccccc2[nH]1,7.4,3,3.34;4.05;8.81,,pkasolver
A1CPE,C[C@@]1(C(=O)Nc2ccccc2O1)C(=O)O,C[C@@]1(C(=O)[O-])Oc2ccccc2[N-]C1=O,7.4,3,3.81;4.42;5.05,,pkasolver
A1CPF,c1ccc(cc1)Nc2[nH]nnn2,c1ccc(Nc2nnn[n-]2)cc1,7.4,5,3.62;3.94;4.67;5.36;9.30,,pkasolver
A1CPH,c1ccc(cc1)Nc2nc(ns2)N,Nc1nsc(Nc2ccccc2)n1,7.4,5,3.06;3.67;4.07;7.76;9.63,,pkasolver
A1CPI,c1ccc(cc1)Nc2nncs2,c1ccc(Nc2nncs2)cc1,7.4,3,2.59;4.03;9.59,,pkasolver
A1CPJ,c1ccc(cc1)Nc2nc(on2)CO,OCc1nc([N-]c2ccccc2)no1,7.4,4,2.85;5.02;7.20;9.55,,pkasolver
A1CPK,c1cc(ccc1C(=O)NOCCO)Cl,O=C(NOCCO)c1ccc(Cl)cc1,7.4,2,8.57;9.12,,pkasolver
A1CPL,Cc1nc(on1)CCCSc2[nH]c3ccc(cc3n2)Cl,Cc1noc(CCCSc2nc3cc(Cl)ccc3[nH]2)n1,7.4,3,4.32;5.92;8.61,,pkasolver
A1CPM,c1cc2c(cc1Cl)nc([nH]2)SCC(=O)N,NC(=O)CSc1nc2cc(Cl)ccc2[nH]1,7.4,4,5.05;6.73;8.21;9.06,,pkasolver
A1CPN,c1ccc2c(c1)[nH]c(n2)SCCCC(=O)N,[NH3+]C(=O)CCCSc1nc2ccccc2[nH]1,7.4,5,3.83;5.70;7.56;8.79;9.67,,pkasolver
A1CPO,COc1ccc(cc1F)NC(=O)c2c[nH]nn2,COc1ccc(NC(=O)c2c[n-]nn2)cc1F,7.4,5,3.85;4.12;4.39;7.22;9.51,,pkasolver
A1CPP,c1cc(oc1)CNC(=O)c2cccs2,O=C(NCc1ccco1)c1cccs1,7.4,2,4.27;9.91,,pkasolver
A1CPQ,c1cc(sc1C(=O)NCc2cc[nH]n2)F,O=C(NCc1cc[nH]n1)c1ccc(F)s1,7.4,5,3.71;3.75;3.87;8.28;9.36,,pkasolver
A1CPR,c1cc(ccc1NC(=O)c2c[nH]cn2)Br,O=C(Nc1ccc(Br)cc1)c1c[nH]cn1,7.4,5,3.29;4.06;4.27;9.35;10.29,,pkasolver
A1CPS,c1cc(ccc1N2CCCCS2(=O)=O)Br,O=S1(=O)CCCCN1c1ccc(Br)cc1,7.4,1,3.24,,pkasolver
A1CPT,c1cc(ccc1C(F)(F)F)NC(=O)CSCC(=O)O,O=C([O-])CSCC(=O)Nc1ccc(C(F)(F)F)cc1,7.4,3,3.71;4.80;9.03,,pkasolver
A1CPU,c1cc(c(cc1Br)C(=O)O)NC(=O)N,[NH-]C(=O)Nc1ccc(Br)cc1C(=O)[O-],7.4,5,3.71;4.19;4.41;4.48;7.92,,pkasolver
A1CPV,COC(=O)c1cc2ccc(cc2[nH]1)Br,COC(=O)c1cc2ccc(Br)cc2[nH]1,7.4,2,4.50;10.81,,pkasolver
A1CPW,c1cc(cc2c1cc([nH]2)C(=O)NCCc3[nH]ccn3)C(F)(F)F,O=C(NCCc1ncc[nH]1)c1cc2ccc(C(F)(F)F)cc2[nH]1,7.4,7,4.67;4.72;4.98;6.69;8.72;9.83;10.42,,pkasolver
A1CPX,c1cc(cc2c1cc([nH]2)C(=O)OCCCO)C(F)(F)F,O=C(OCCCO)c1cc2ccc(C(F)(F)F)cc2[nH]1,7.4,3,4.40;8.53;10.50,,pkasolver
A1CPY,COc1ccc2c(c1)[nH]c3c2N=CN(C3=O)CCc4c[nH]cn4,COc1ccc2c(c1)[nH]c1c(=O)n(CCc3c[nH]cn3)cnc12,7.4,5,3.99;5.58;6.72;9.44;10.04,,pkasolver
A1CPZ,c1cc(cc2c1cc([nH]2)C(=O)N)Br,NC(=O)c1cc2ccc(Br)cc2[nH]1,7.4,4,3.90;5.33;8.95;10.67,,pkasolver
A1CQA,c1cc(ccc1CS(=O)(=O)CCCO)Br,O=S(=O)(CCCO)Cc1ccc(Br)cc1,7.4,1,8.51,,pkasolver
A1CQB,c1ccc2c(c1)cc([nH]2)C(=O)NCCO,O=C(NCCO)c1cc2ccccc2[nH]1,7.4,4,4.99;8.94;9.50;11.19,,pkasolver
A1CQC,CC(=O)c1[nH]c2ccccc2n1,CC(=O)c1nc2ccccc2[nH]1,7.4,3,3.93;5.88;9.69,,pkasolver
A1CQD,c1cc([nH]c1)CNC(=O)c2ccc(c(c2)O)C(F)(F)F,O=C(NCc1ccc[nH]1)c1ccc(C(F)(F)F)c(O)c1,7.4,5,3.38;3.85;8.35;9.05;10.00,phenol@18:6.17->10.00,pkasolver+phenol_rule
A1CQE,c1cc2c(cc1C(F)(F)F)NC(=O)[C@@H](S2)CC(=O)NCC(=O)O,O=C([O-])CNC(=O)C[C@@H]1Sc2ccc(C(F)(F)F)cc2NC1=O,7.4,5,4.37;5.33;6.00;7.96;8.64,,pkasolver
A1CQF,c1cc2c(cc1Cl)NC(=O)[C@@H](S2)CC(=O)N3CC(C3)C(=O)N,[NH-]C(=O)C1CN(C(=O)C[C@@H]2Sc3ccc(Cl)cc3NC2=O)C1,7.4,5,4.14;5.52;6.55;7.19;8.31,,pkasolver
A1CQG,C[C@](CNC(=O)C[C@H]1C(=O)Nc2cc(ccc2S1)Cl)(C(=O)O)O,C[C@](O)(CNC(=O)C[C@@H]1Sc2ccc(Cl)cc2[N-]C1=O)C(=O)[O-],7.4,6,4.55;4.70;5.25;6.07;7.54;8.55,,pkasolver
