het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
NYU,C[C@]12C[C@@H]([C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O)c5ccc(cc5)OCCN(C)C,C[NH+](C)CCOc1ccc([C@H]2C[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]3CCc4cc(O)ccc4[C@H]32)cc1,7.4,2,9.18;9.50,,pkasolver
O0O,c1cc(ccc1NC2(CCNCC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CC[NH2+]CC2)CC1,7.4,6,4.33;7.10;7.61;8.62;9.05;9.98,,pkasolver
O2X,c1cc(ccc1NC2(CCOCC2)C(=O)NCC3CC4(C3)CCN(CC4)C(=O)CCl)Cl,O=C(CCl)N1CCC2(CC1)CC(CNC(=O)C1(Nc3ccc(Cl)cc3)CCOCC1)C2,7.4,5,3.96;4.92;7.00;9.11;10.08,,pkasolver
O3F,c1cc(ccc1NC2(CCOCC2)C(=O)N3CCC4(CC3)CC(C4)CNC(=O)CCl)Cl,O=C(CCl)NCC1CC2(CCN(C(=O)C3(Nc4ccc(Cl)cc4)CCOCC3)CC2)C1,7.4,5,4.10;6.75;7.56;8.97;9.96,,pkasolver
O3O,c1cc(ccc1NC2(CCNCC2)C(=O)N3CCC(CC3)CCNC(=O)CCl)Cl,O=C(CCl)NCCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CC[NH2+]CC2)CC1,7.4,6,4.39;7.28;7.77;8.67;9.09;10.00,,pkasolver
O3T,c1cc(ccc1OC2(CCC(CC2)(F)F)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Oc3ccc(Cl)cc3)CCC(F)(F)CC2)CC1,7.4,3,6.76;7.57;9.04,,pkasolver
O49,c1cc(ccc1OC2(CCOCC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Oc3ccc(Cl)cc3)CCOCC2)CC1,7.4,3,6.72;7.44;8.93,,pkasolver
O4R,c1ccc(cc1)OC2(CCCC2)C(=O)N3CCC(CC3)CNC(=O)CCl,O=C(CCl)NCC1CCN(C(=O)C2(Oc3ccccc3)CCCC2)CC1,7.4,3,6.92;7.55;9.03,,pkasolver
O5I,c1cc(ccc1NC2(CCCC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CCCC2)CC1,7.4,5,4.30;7.04;7.61;8.96;10.22,,pkasolver
O6C,CC(C)(C(=O)N1CCC(CC1)C(=O)NCCSSCCN(C)C)Oc2ccc(cc2)Cl,C[NH+](C)CCSSCCNC(=O)C1CC[NH+](C(=O)C(C)(C)Oc2ccc(Cl)cc2)CC1,7.4,4,7.04;7.47;9.15;9.65,,pkasolver
O6L,c1cc(ccc1OC2(CCCC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Oc3ccc(Cl)cc3)CCCC2)CC1,7.4,3,6.85;7.49;8.98,,pkasolver
OB1,c1ccc(cc1)NS(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,O=S(=O)(Nc1ccccc1)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,4,6.80;8.93;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OB2,CN(c1ccccc1)S(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,CN(c1ccccc1)S(=O)(=O)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,3,4.28;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
OB3,CN(c1ccccc1Cl)S(=O)(=O)[C@@H]2C[C@H]3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,CN(c1ccccc1Cl)S(=O)(=O)[C@@H]1C[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1,7.4,3,4.03;10.00;10.00,phenol:2,pkasolver+weak_acid_guard
