het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
KPW,Cc1cccc(n1)c2c(c3n(n2)CC(C3)(C)C)c4ccnc(c4)Nc5ccc(cc5)S(=O)(=O)N,Cc1cccc(-c2nn3c(c2-c2ccnc(Nc4ccc(S(N)(=O)=O)cc4)c2)CC(C)(C)C3)n1,7.4,7,3.35;3.82;6.70;6.90;7.26;8.90;9.62,pkasolver
KQU,CCCC[Se]C[C@H](C[Se]c1ccc(cc1)S(=O)(=O)N)O,CCCC[Se]C[C@@H](O)C[Se]c1ccc(S([NH3+])(=O)=O)cc1,7.4,3,7.46;9.59;9.85,pkasolver
KR5,Cc1cc(n(n1)C(=O)CCNc2ccc(cc2)S(=O)(=O)N)C,Cc1cc(C)n(C(=O)CCNc2ccc(S([NH3+])(=O)=O)cc2)n1,7.4,5,2.89;4.66;7.59;9.75;9.98,pkasolver
KR6,CCCC[Se]C[C@@H](C[Se]c1ccc(cc1)S(=O)(=O)N)O,CCCC[Se]C[C@H](O)C[Se]c1ccc(S([NH3+])(=O)=O)cc1,7.4,3,7.46;9.59;9.85,pkasolver
L1Q,CCCc1c(c(c(c(c1F)F)S(=O)(=O)N)F)F,CCCc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F,7.4,2,6.00;8.08,pkasolver
L3Q,C1CN2[C@@H](CN1)COC2=O,O=C1OC[C@@H]2C[NH2+]CCN12,7.4,2,4.32;7.66,pkasolver
L4K,CCCCCc1ccc(cc1)S(=O)(=O)N,CCCCCc1ccc(S(N)(=O)=O)cc1,7.4,2,7.39;10.38,pkasolver
L4Q,CCCCCCc1ccc(cc1)S(=O)(=O)N,CCCCCCc1ccc(S([NH3+])(=O)=O)cc1,7.4,2,7.44;10.43,pkasolver
L4W,CCCCCOc1ccc(cc1)S(=O)(=O)N,CCCCCOc1ccc(S(N)(=O)=O)cc1,7.4,2,7.02;9.84,pkasolver
L7T,c1(c(c(c(c(c1F)F)S(=O)(=O)N)F)F)F,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,7.4,2,5.65;7.78,pkasolver
L8N,c1ccc(cc1)P(=O)(O)Oc2ccc(cc2)S(=O)(=O)N,NS(=O)(=O)c1ccc(OP(=O)([O-])c2ccccc2)cc1,7.4,3,3.04;5.54;7.55,pkasolver
L9B,c1cc(ccc1CCCCO)S(=O)(=O)N,[NH3+]S(=O)(=O)c1ccc(CCCCO)cc1,7.4,2,7.54;10.30,pkasolver
LBQ,c1cc(oc1)CNc2ccc(cc2)S(=O)(=O)N,NS(=O)(=O)c1ccc(NCc2ccco2)cc1,7.4,4,3.14;7.03;9.72;11.16,pkasolver
LC1,c1cc2c(cc1S(=O)(=O)N)nc([nH]2)c3cscn3,NS(=O)(=O)c1ccc2[nH]c(-c3cscn3)nc2c1,7.4,6,3.03;3.48;4.45;6.94;8.90;9.44,pkasolver
LC8,c1cc(oc1)CNc2ccc(cc2[N+](=O)[O-])S(=O)(=O)N,NS(=O)(=O)c1ccc(NCc2ccco2)c([N+](=O)[O-])c1,7.4,4,3.00;6.50;8.57;10.11,pkasolver
