target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
nachr_a4b2,8L3,"3-[[4-[(3,4-dichlorophenyl)methyl]piperidin-4-yl]methoxy]pyridine",yes,5Y2Q,,,X-ray structure of acetylcholine binding protein (AChBP) complexed with a small molecule
nachr_a4b2,AN4,"3,4,5,6-tetrahydro-2,3'-bipyridine",yes,2WNL,19696737,10.1038/emboj.2009.227,Structural determinants for interaction of partial agonists with acetylcholine binding protein and neuronal alpha7 nicotinic acetylcholine receptor.
nachr_a4b2,AN5,5-amino-1-pyridin-3-ylpentan-1-one,yes,2WNL,19696737,10.1038/emboj.2009.227,Structural determinants for interaction of partial agonists with acetylcholine binding protein and neuronal alpha7 nicotinic acetylcholine receptor.
nachr_a4b2,BS1,"(3-EXO)-3-(10,11-DIHYDRO-5H-DIBENZO[A,D][7]ANNULEN-5-YLOXY)-8,8-DIMETHYL-8-AZONIABICYCLO[3.2.1]OCTANE",no,2W8F,19331415,10.1021/JM801400G,"Use of Acetylcholine Binding Protein in the Search for Novel Alpha7 Nicotinic Receptor Ligands. In Silico Docking, Pharmacological Screening, and X- Ray Analysis."
nachr_a4b2,BS2,"(3-ENDO,8-ANTI)-8-BENZYL-3-(10,11-DIHYDRO-5H-DIBENZO[A,D][7]ANNULEN-5-YLOXY)-8-AZONIABICYCLO[3.2.1]OCTANE",no,2W8G,19331415,10.1021/JM801400G,"Use of Acetylcholine Binding Protein in the Search for Novel Alpha7 Nicotinic Receptor Ligands. In Silico Docking, Pharmacological Screening, and X- Ray Analysis."
nachr_a4b2,CWB,"1-methyl-N-[(1R,5S)-9-methyl-9-azabicyclo[3.3.1]nonan-3-yl]indazole-3-carboxamide",yes,2YME,23196367,10.1038/EMBOR.2012.189,Structural Basis of Ligand Recognition in 5-Ht3 Receptors.
nachr_a4b2,GLY,GLYCINE,yes,5OAN,31709057,10.1107/S205225251901114X,Engineering a surrogate human heteromeric alpha / beta glycine receptor orthosteric site exploiting the structural homology and stability of acetylcholine-binding protein.
nachr_a4b2,GNT,(-)-GALANTHAMINE,yes,2PH9,17481657,10.1016/j.jmb.2007.03.067,Galanthamine and non-competitive inhibitor binding to ACh-binding protein: evidence for a binding site on non-alpha-subunit interfaces of heteromeric neuronal nicotinic receptors.
nachr_a4b2,GYN,GYMNODIMINE A,no,2X00,20224036,10.1073/PNAS.0912372107,Structural Determinants in Phycotoxins and Achbp Conferring High Affinity Binding and Nicotinic Achr Antagonism.
nachr_a4b2,H8U,Paraherquamide A,no,7DJI,36948535,10.1124/molpharm.122.000601,Determinants of subtype-selectivity of the anthelmintic paraherquamide A on Caenorhabditis elegans nicotinic acetylcholine receptors.
nachr_a4b2,ILR,Spiroimine (+)-4 R,no,8Q1M,38667766,10.3390/md22040149,The Cyclic Imine Core Common to the Marine Macrocyclic Toxins Is Sufficient to Dictate Nicotinic Acetylcholine Receptor Antagonism.
nachr_a4b2,J94,"(5S)-6,6-dimethyl-5-[(6R)-8-oxo-6,8-dihydrofuro[3,4-e][1,3]benzodioxol-6-yl]-5,6,7,8-tetrahydro[1,3]dioxolo[4,5-g]isoquinolin-6-ium",yes,5OBH,31859406,10.1002/cbic.201900680,A Structural Rationale for N-Methylbicuculline Acting as a Promiscuous Competitive Antagonist of Inhibitory Pentameric Ligand-Gated Ion Channels.
